link,Data-Name,data type,default task,attribute-type,instances,attributes,year
https://archive.ics.uci.edu/ml/datasets/Abalone,Abalone,Multivariate,Classification,"Categorical, Integer, Real",4177,8,1995
https://archive.ics.uci.edu/ml/datasets/Adult,Adult,Multivariate,Classification,"Categorical, Integer",48842,14,1996
https://archive.ics.uci.edu/ml/datasets/Annealing,Annealing,Multivariate,Classification,"Categorical, Integer, Real",798,38,
https://archive.ics.uci.edu/ml/datasets/Anonymous+Microsoft+Web+Data,Anonymous Microsoft Web Data,Recommender-Systems,Categorical,,37711,294,1998
https://archive.ics.uci.edu/ml/datasets/Arrhythmia,Arrhythmia,Multivariate,Classification,"Categorical, Integer, Real",452,279,1998
https://archive.ics.uci.edu/ml/datasets/Artificial+Characters,Artificial Characters,Multivariate,Classification,"Categorical, Integer, Real",6000,7,1992
https://archive.ics.uci.edu/ml/datasets/Audiology+%28Original%29,Audiology (Original),Multivariate,Classification,Categorical,226,,1987
https://archive.ics.uci.edu/ml/datasets/Audiology+%28Standardized%29,Audiology (Standardized),Multivariate,Classification,Categorical,226,69,1992
https://archive.ics.uci.edu/ml/datasets/Auto+MPG,Auto MPG,Multivariate,Regression,"Categorical, Real",398,8,1993
https://archive.ics.uci.edu/ml/datasets/Automobile,Automobile,Multivariate,Regression,"Categorical, Integer, Real",205,26,1987
https://archive.ics.uci.edu/ml/datasets/Badges,Badges,"Univariate, Text",Classification,,294,1,1994
https://archive.ics.uci.edu/ml/datasets/Balance+Scale,Balance Scale,Multivariate,Classification,Categorical,625,4,1994
https://archive.ics.uci.edu/ml/datasets/Balloons,Balloons,Multivariate,Classification,Categorical,16,4,
https://archive.ics.uci.edu/ml/datasets/Breast+Cancer,Breast Cancer,Multivariate,Classification,Categorical,286,9,1988
https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Original%29,Breast Cancer Wisconsin (Original),Multivariate,Classification,Integer,699,10,1992
https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Prognostic%29,Breast Cancer Wisconsin (Prognostic),Multivariate,"Classification, Regression",Real,198,34,1995
https://archive.ics.uci.edu/ml/datasets/Breast+Cancer+Wisconsin+%28Diagnostic%29,Breast Cancer Wisconsin (Diagnostic),Multivariate,Classification,Real,569,32,1995
https://archive.ics.uci.edu/ml/datasets/Pittsburgh+Bridges,Pittsburgh Bridges,Multivariate,Classification,"Categorical, Integer",108,13,1990
https://archive.ics.uci.edu/ml/datasets/Car+Evaluation,Car Evaluation,Multivariate,Classification,Categorical,1728,6,1997
https://archive.ics.uci.edu/ml/datasets/Census+Income,Census Income,Multivariate,Classification,"Categorical, Integer",48842,14,1996
https://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King-Knight%29,Chess (King-Rook vs. King-Knight),"Multivariate, Data-Generator",Classification,"Categorical, Integer",,22,1988
https://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King-Pawn%29,Chess (King-Rook vs. King-Pawn),Multivariate,Classification,Categorical,3196,36,1989
https://archive.ics.uci.edu/ml/datasets/Chess+%28King-Rook+vs.+King%29,Chess (King-Rook vs. King),Multivariate,Classification,"Categorical, Integer",28056,6,1994
https://archive.ics.uci.edu/ml/datasets/Chess+%28Domain+Theories%29,Chess (Domain Theories),Domain-Theory,,,,,
https://archive.ics.uci.edu/ml/datasets/Bach+Chorales,Bach Chorales,"Univariate, Time-Series","Categorical, Integer",,100,6,
https://archive.ics.uci.edu/ml/datasets/Connect-4,Connect-4,"Multivariate, Spatial",Classification,Categorical,67557,42,1995
https://archive.ics.uci.edu/ml/datasets/Credit+Approval,Credit Approval,Multivariate,Classification,"Categorical, Integer, Real",690,15,
https://archive.ics.uci.edu/ml/datasets/Japanese+Credit+Screening,Japanese Credit Screening,"Multivariate, Domain-Theory",Classification,"Categorical, Real, Integer",125,,1992
https://archive.ics.uci.edu/ml/datasets/Computer+Hardware,Computer Hardware,Multivariate,Regression,Integer,209,9,1987
https://archive.ics.uci.edu/ml/datasets/Contraceptive+Method+Choice,Contraceptive Method Choice,Multivariate,Classification,"Categorical, Integer",1473,9,1997
https://archive.ics.uci.edu/ml/datasets/Covertype,Covertype,Multivariate,Classification,"Categorical, Integer",581012,54,1998
https://archive.ics.uci.edu/ml/datasets/Cylinder+Bands,Cylinder Bands,Multivariate,Classification,"Categorical, Integer, Real",512,39,1995
https://archive.ics.uci.edu/ml/datasets/Dermatology,Dermatology,Multivariate,Classification,"Categorical, Integer",366,33,1998
https://archive.ics.uci.edu/ml/datasets/Diabetes,Diabetes,"Multivariate, Time-Series",,"Categorical, Integer",,20,
https://archive.ics.uci.edu/ml/datasets/DGP2+-+The+Second+Data+Generation+Program,DGP2 - The Second Data Generation Program,Data-Generator,Real,,,,
https://archive.ics.uci.edu/ml/datasets/Echocardiogram,Echocardiogram,Multivariate,Classification,"Categorical, Integer, Real",132,12,1989
https://archive.ics.uci.edu/ml/datasets/Ecoli,Ecoli,Multivariate,Classification,Real,336,8,1996
https://archive.ics.uci.edu/ml/datasets/Flags,Flags,Multivariate,Classification,"Categorical, Integer",194,30,1990
https://archive.ics.uci.edu/ml/datasets/Function+Finding,Function Finding,Function-Learning,Real,,352,,1990
https://archive.ics.uci.edu/ml/datasets/Glass+Identification,Glass Identification,Multivariate,Classification,Real,214,10,1987
https://archive.ics.uci.edu/ml/datasets/Haberman%27s+Survival,Haberman's Survival,Multivariate,Classification,Integer,306,3,1999
https://archive.ics.uci.edu/ml/datasets/Hayes-Roth,Hayes-Roth,Multivariate,Classification,Categorical,160,5,1989
https://archive.ics.uci.edu/ml/datasets/Heart+Disease,Heart Disease,Multivariate,Classification,"Categorical, Integer, Real",303,75,1988
https://archive.ics.uci.edu/ml/datasets/Hepatitis,Hepatitis,Multivariate,Classification,"Categorical, Integer, Real",155,19,1988
https://archive.ics.uci.edu/ml/datasets/Horse+Colic,Horse Colic,Multivariate,Classification,"Categorical, Integer, Real",368,27,1989
https://archive.ics.uci.edu/ml/datasets/ICU,ICU,"Multivariate, Time-Series",Real,,,,
https://archive.ics.uci.edu/ml/datasets/Image+Segmentation,Image Segmentation,Multivariate,Classification,Real,2310,19,1990
https://archive.ics.uci.edu/ml/datasets/Internet+Advertisements,Internet Advertisements,Multivariate,Classification,"Categorical, Integer, Real",3279,1558,1998
https://archive.ics.uci.edu/ml/datasets/Ionosphere,Ionosphere,Multivariate,Classification,"Integer, Real",351,34,1989
https://archive.ics.uci.edu/ml/datasets/Iris,Iris,Multivariate,Classification,Real,150,4,1988
https://archive.ics.uci.edu/ml/datasets/ISOLET,ISOLET,Multivariate,Classification,Real,7797,617,1994
https://archive.ics.uci.edu/ml/datasets/Kinship,Kinship,Relational,Relational-Learning,Categorical,104,12,1990
https://archive.ics.uci.edu/ml/datasets/Labor+Relations,Labor Relations,Multivariate,"Categorical, Integer, Real","Categorical, Integer, Real",57,16,1988
https://archive.ics.uci.edu/ml/datasets/LED+Display+Domain,LED Display Domain,"Multivariate, Data-Generator",Classification,Categorical,,7,1988
https://archive.ics.uci.edu/ml/datasets/Lenses,Lenses,Multivariate,Classification,Categorical,24,4,1990
